"datetime","Measured_Temperature"
2023-12-09 14:35:54,21.18 °C
2023-12-09 14:35:55,21.19 °C
2023-12-09 14:35:56,21.20 °C
2023-12-09 14:35:57,21.21 °C
2023-12-09 14:35:58,21.23 °C
2023-12-09 14:35:59,21.24 °C
2023-12-09 14:36:00,21.25 °C
2023-12-09 14:36:01,21.26 °C
2023-12-09 14:36:02,21.28 °C
2023-12-09 14:36:03,21.29 °C
2023-12-09 14:36:04,21.30 °C
2023-12-09 14:36:05,21.32 °C
2023-12-09 14:36:06,21.33 °C
2023-12-09 14:36:07,21.34 °C
2023-12-09 14:36:08,21.35 °C
2023-12-09 14:36:09,21.37 °C
2023-12-09 14:36:10,21.38 °C
2023-12-09 14:36:11,21.39 °C
2023-12-09 14:36:12,21.40 °C
2023-12-09 14:36:13,21.42 °C
2023-12-09 14:36:14,21.43 °C
2023-12-09 14:36:15,21.44 °C
2023-12-09 14:36:16,21.45 °C
2023-12-09 14:36:17,21.47 °C
2023-12-09 14:36:18,21.48 °C
2023-12-09 14:36:19,21.49 °C
2023-12-09 14:36:20,21.50 °C
2023-12-09 14:36:21,21.52 °C
2023-12-09 14:36:22,21.53 °C
2023-12-09 14:36:23,21.54 °C
2023-12-09 14:36:24,21.55 °C
2023-12-09 14:36:25,21.57 °C
2023-12-09 14:36:26,21.58 °C
2023-12-09 14:36:27,21.59 °C
2023-12-09 14:36:28,21.61 °C
2023-12-09 14:36:29,21.62 °C
2023-12-09 14:36:30,21.63 °C
2023-12-09 14:36:31,21.64 °C
2023-12-09 14:36:32,21.66 °C
2023-12-09 14:36:33,21.67 °C
2023-12-09 14:36:34,21.68 °C
2023-12-09 14:36:35,21.69 °C
2023-12-09 14:36:36,21.71 °C
2023-12-09 14:36:37,21.72 °C
2023-12-09 14:36:38,21.73 °C
2023-12-09 14:36:39,21.74 °C
2023-12-09 14:36:40,21.76 °C
2023-12-09 14:36:41,21.77 °C
2023-12-09 14:36:42,21.78 °C
2023-12-09 14:36:43,21.79 °C
2023-12-09 14:36:44,21.81 °C
2023-12-09 14:36:45,21.82 °C
2023-12-09 14:36:46,21.83 °C
2023-12-09 14:36:47,21.85 °C
2023-12-09 14:36:48,21.86 °C
2023-12-09 14:36:49,21.87 °C
2023-12-09 14:36:50,21.88 °C
2023-12-09 14:36:51,21.90 °C
2023-12-09 14:36:52,21.91 °C
2023-12-09 14:36:53,21.90 °C
2023-12-09 14:36:54,21.91 °C
2023-12-09 14:36:55,21.90 °C
2023-12-09 14:36:56,21.89 °C
2023-12-09 14:36:57,21.90 °C
2023-12-09 14:36:58,21.91 °C
2023-12-09 14:36:59,21.90 °C
2023-12-09 14:37:00,21.91 °C
2023-12-09 14:37:01,21.90 °C
2023-12-09 14:37:02,21.92 °C
2023-12-09 14:37:03,21.91 °C
2023-12-09 14:37:04,21.94 °C
2023-12-09 14:37:05,21.98 °C
2023-12-09 14:37:06,22.01 °C
2023-12-09 14:37:07,22.05 °C
2023-12-09 14:37:08,22.09 °C
2023-12-09 14:37:09,22.13 °C
2023-12-09 14:37:10,22.16 °C
2023-12-09 14:37:11,22.20 °C
2023-12-09 14:37:12,22.24 °C
2023-12-09 14:37:13,22.28 °C
2023-12-09 14:37:14,22.31 °C
2023-12-09 14:37:15,22.35 °C
2023-12-09 14:37:16,22.39 °C
2023-12-09 14:37:17,22.43 °C
2023-12-09 14:37:18,22.46 °C
2023-12-09 14:37:19,22.50 °C
2023-12-09 14:37:20,22.54 °C
2023-12-09 14:37:21,22.58 °C
2023-12-09 14:37:22,22.61 °C
2023-12-09 14:37:23,22.65 °C
2023-12-09 14:37:24,22.69 °C
2023-12-09 14:37:25,22.73 °C
2023-12-09 14:37:26,22.77 °C
2023-12-09 14:37:27,22.80 °C
2023-12-09 14:37:28,22.84 °C
2023-12-09 14:37:29,22.88 °C
2023-12-09 14:37:30,22.92 °C
2023-12-09 14:37:31,22.95 °C
2023-12-09 14:37:32,22.99 °C
2023-12-09 14:37:33,23.03 °C
2023-12-09 14:37:34,23.04 °C
2023-12-09 14:37:35,23.06 °C
2023-12-09 14:37:36,23.07 °C
2023-12-09 14:37:37,23.08 °C
2023-12-09 14:37:38,23.09 °C
