"datetime","Heater_Regulation"
2023-12-09 14:37:25,20%
2023-12-09 14:37:26,20%
2023-12-09 14:37:27,20%
2023-12-09 14:37:28,20%
2023-12-09 14:37:29,20%
2023-12-09 14:37:30,20%
2023-12-09 14:37:31,20%
2023-12-09 14:37:32,20%
2023-12-09 14:37:33,10%
2023-12-09 14:37:34,10%
2023-12-09 14:37:35,10%
2023-12-09 14:37:36,10%
2023-12-09 14:37:37,10%
2023-12-09 14:37:38,10%
2023-12-09 14:37:39,10%
2023-12-09 14:37:40,10%
2023-12-09 14:37:41,10%
2023-12-09 14:37:42,10%
2023-12-09 14:37:43,10%
2023-12-09 14:37:44,10%
2023-12-09 14:37:45,10%
2023-12-09 14:37:46,10%
2023-12-09 14:37:47,10%
2023-12-09 14:37:48,10%
2023-12-09 14:37:49,10%
2023-12-09 14:37:50,10%
2023-12-09 14:37:51,10%
2023-12-09 14:37:52,10%
2023-12-09 14:37:53,10%
2023-12-09 14:37:54,10%
2023-12-09 14:37:55,10%
2023-12-09 14:37:56,10%
2023-12-09 14:37:57,10%
2023-12-09 14:37:58,10%
2023-12-09 14:37:59,10%
2023-12-09 14:38:00,10%
2023-12-09 14:38:01,10%
2023-12-09 14:38:02,10%
2023-12-09 14:38:03,10%
2023-12-09 14:38:04,10%
2023-12-09 14:38:05,10%
2023-12-09 14:38:06,10%
2023-12-09 14:38:07,10%
2023-12-09 14:38:08,10%
2023-12-09 14:38:09,10%
2023-12-09 14:38:10,10%
2023-12-09 14:38:11,10%
2023-12-09 14:38:12,10%
2023-12-09 14:38:13,10%
2023-12-09 14:38:14,10%
2023-12-09 14:38:15,10%
2023-12-09 14:38:16,10%
2023-12-09 14:38:17,10%
2023-12-09 14:38:18,10%
2023-12-09 14:38:19,10%
2023-12-09 14:38:20,10%
2023-12-09 14:38:21,10%
2023-12-09 14:38:22,10%
2023-12-09 14:38:23,10%
2023-12-09 14:38:24,10%
2023-12-09 14:38:25,10%
2023-12-09 14:38:26,10%
2023-12-09 14:38:27,10%
2023-12-09 14:38:28,10%
2023-12-09 14:38:29,10%
2023-12-09 14:38:30,10%
2023-12-09 14:38:31,10%
2023-12-09 14:38:32,10%
2023-12-09 14:38:33,10%
2023-12-09 14:38:34,10%
2023-12-09 14:38:35,10%
2023-12-09 14:38:36,10%
2023-12-09 14:38:37,10%
2023-12-09 14:38:38,10%
2023-12-09 14:38:39,10%
2023-12-09 14:38:40,10%
2023-12-09 14:38:41,10%
2023-12-09 14:38:42,10%
2023-12-09 14:38:43,0%
2023-12-09 14:38:44,0%
2023-12-09 14:38:45,10%
2023-12-09 14:38:46,10%
2023-12-09 14:38:47,0%
2023-12-09 14:38:48,0%
2023-12-09 14:38:49,10%
2023-12-09 14:38:50,10%
2023-12-09 14:38:51,0%
2023-12-09 14:38:52,10%
2023-12-09 14:38:54,0%
2023-12-09 14:38:55,10%
2023-12-09 14:38:56,10%
2023-12-09 14:38:57,0%
2023-12-09 14:38:58,0%
2023-12-09 14:38:59,10%
2023-12-09 14:39:00,10%
2023-12-09 14:39:01,0%
2023-12-09 14:39:02,0%
2023-12-09 14:39:03,0%
2023-12-09 14:39:04,0%
2023-12-09 14:39:05,10%
2023-12-09 14:39:06,0%
2023-12-09 14:39:07,10%
2023-12-09 14:39:08,0%
2023-12-09 14:39:09,10%
2023-12-09 14:39:10,0%
2023-12-09 14:39:11,10%
2023-12-09 14:39:12,0%
2023-12-09 14:39:13,10%
2023-12-09 14:39:14,0%
2023-12-09 14:39:15,10%
2023-12-09 14:39:16,0%
2023-12-09 14:39:17,10%
2023-12-09 14:39:18,0%
2023-12-09 14:39:19,10%
2023-12-09 14:39:20,0%
2023-12-09 14:39:21,10%
2023-12-09 14:39:22,0%
2023-12-09 14:39:23,10%
2023-12-09 14:39:24,0%
2023-12-09 14:39:25,0%
2023-12-09 14:39:26,0%
2023-12-09 14:39:27,0%
2023-12-09 14:39:28,0%
2023-12-09 14:39:29,0%
2023-12-09 14:39:30,0%
2023-12-09 14:39:31,0%
2023-12-09 14:39:32,0%
2023-12-09 14:39:33,0%
2023-12-09 14:39:34,0%
2023-12-09 14:39:35,0%
2023-12-09 14:39:36,0%
2023-12-09 14:39:37,0%
2023-12-09 14:39:38,0%
2023-12-09 14:39:39,0%
2023-12-09 14:39:40,0%
2023-12-09 14:39:41,0%
2023-12-09 14:39:42,0%
2023-12-09 14:39:43,0%
2023-12-09 14:39:44,0%
2023-12-09 14:39:45,0%
2023-12-09 14:39:46,0%
2023-12-09 14:39:47,0%
2023-12-09 14:39:48,0%
2023-12-09 14:39:49,0%
